#Parameters = {h=2; k=4.5; l0=15.9; l1=8.09; l2=8.59; l3=11; ld=25.9075; w0=5.05; w1=3.28; w2=0.083; w3=2.835; Mesh Pass=2}
#"Frequency / GHz"	"S2,1 (Mesh Pass=2) [Magnitude / dB]"
#-------------------------------------------------------
2.1343998908997	-0.56396446756486
2.1359999179840	-0.56226509043506
2.1375999450684	-0.56056305546666
2.1391999721527	-0.55885770189707
2.1407999992371	-0.55714736605718
2.1424000263214	-0.55543529444069
2.1440000534058	-0.55371944908877
2.1456000804901	-0.55199976518365
2.1472001075745	-0.55027586824530
2.1487998962402	-0.54854824550560
2.1503999233246	-0.54681772034171
2.1519999504089	-0.54508269662858
2.1535999774933	-0.54334408605506
2.1552000045776	-0.54160107538317
2.1568000316620	-0.53985428703128
2.1584000587463	-0.53810302913101
2.1600000858307	-0.53634804116749
2.1616001129150	-0.53458968387365
2.1631999015808	-0.53282590961998
2.1647999286652	-0.53105817771777
2.1663999557495	-0.52928615639563
2.1679999828339	-0.52751067181336
2.1696000099182	-0.52572973321538
2.1712000370026	-0.52394457451574
2.1728000640869	-0.52215523275880
2.1744000911713	-0.52036157371319
2.1760001182556	-0.51856330683352
2.1775999069214	-0.51676074491860
2.1791999340057	-0.51495406404130
2.1807999610901	-0.51314128725991
2.1823999881744	-0.51132600657242
2.1840000152588	-0.50950596618776
2.1856000423431	-0.50768034312080
2.1872000694275	-0.50585206272385
2.1888000965118	-0.50401739127543
2.1903998851776	-0.50217997280730
2.1919999122620	-0.50033639969476
2.1935999393463	-0.49849010540382
2.1951999664307	-0.49663896703821
2.1967999935150	-0.49478404637528
2.1984000205994	-0.49292405309890
2.2000000476837	-0.49106048401627
2.2016000747681	-0.48919222329344
2.2032001018524	-0.48731989400700
2.2047998905182	-0.48544399311125
2.2063999176025	-0.48356349517162
2.2079999446869	-0.48167820940124
2.2095999717712	-0.47979185577938
2.2111999988556	-0.47789916389402
2.2128000259399	-0.47600259899896
2.2144000530243	-0.47410373908014
2.2160000801086	-0.47220021029441
2.2176001071930	-0.47029329891963
2.2191998958588	-0.46838353043001
2.2207999229431	-0.46647030607697
2.2223999500275	-0.46455279038247
2.2239999771118	-0.46263214367161
2.2256000041962	-0.46070971856308
2.2272000312805	-0.45878346850792
2.2288000583649	-0.45685348214130
2.2304000854492	-0.45492261376362
2.2320001125336	-0.45298726015071
2.2335999011993	-0.45104978528405
2.2351999282837	-0.44911042577072
2.2367999553680	-0.44716738544384
2.2383999824524	-0.44522313865027
2.2400000095367	-0.44327630984158
2.2416000366211	-0.44132781218864
2.2432000637054	-0.43937741830750
2.2448000907898	-0.43742606450608
2.2464001178741	-0.43547271771902
2.2479999065399	-0.43351679243818
2.2495999336243	-0.43156111497974
2.2511999607086	-0.42960312806950
2.2527999877930	-0.42764573673876
2.2544000148773	-0.42568550594531
2.2560000419617	-0.42372730885925
2.2576000690460	-0.42176589189864
2.2592000961304	-0.41980596933202
2.2607998847961	-0.41784542390974
2.2623999118805	-0.41588440501045
2.2639999389648	-0.41392489356976
2.2655999660492	-0.41196448324738
2.2671999931335	-0.41000550254881
2.2688000202179	-0.40804696719336
2.2704000473022	-0.40608873511920
2.2720000743866	-0.40413275603400
2.2736001014709	-0.40217736633025
2.2751998901367	-0.40022347502443
2.2767999172211	-0.39827190183108
2.2783999443054	-0.39632252550478
2.2799999713898	-0.39437539564216
2.2815999984741	-0.39242954762909
2.2832000255585	-0.39048673250825
2.2848000526428	-0.38854741482497
